item,itemLabel
http://www.wikidata.org/entity/Q5387077,Eric McLuhan
http://www.wikidata.org/entity/Q6111479,Jack Burnham
http://www.wikidata.org/entity/Q6120845,Jacques Rousseau
http://www.wikidata.org/entity/Q6202245,Jing Wang
http://www.wikidata.org/entity/Q6231667,John Ellis
http://www.wikidata.org/entity/Q6308905,Juliet Schor
http://www.wikidata.org/entity/Q6315657,Jussi Parikka
http://www.wikidata.org/entity/Q6317471,Justin Clemens
http://www.wikidata.org/entity/Q6483553,Lance Strate
http://www.wikidata.org/entity/Q6520879,Lelia Green
http://www.wikidata.org/entity/Q6523573,Leo Braudy
http://www.wikidata.org/entity/Q6760685,Margot Lovejoy
http://www.wikidata.org/entity/Q6769300,Mark Poster
http://www.wikidata.org/entity/Q6776466,Martin Rimm
http://www.wikidata.org/entity/Q6782378,Masahiro Morioka
http://www.wikidata.org/entity/Q6793836,Maurizio Bolognini
http://www.wikidata.org/entity/Q6828918,Michael Bull
http://www.wikidata.org/entity/Q6842927,Midori Suzuki
http://www.wikidata.org/entity/Q6897531,Momčilo Rajin
http://www.wikidata.org/entity/Q6962559,Nancy Baym
http://www.wikidata.org/entity/Q6968182,Natalie Jeremijenko
http://www.wikidata.org/entity/Q7045465,Noah Wardrip-Fruin
http://www.wikidata.org/entity/Q7151223,Paul Hegarty
http://www.wikidata.org/entity/Q7152017,Paul Levinson
http://www.wikidata.org/entity/Q7350708,Robert W. McChesney
http://www.wikidata.org/entity/Q7422203,Sarah Cook
http://www.wikidata.org/entity/Q7422836,Sarah Thornton
http://www.wikidata.org/entity/Q7456580,Seth Price
http://www.wikidata.org/entity/Q7488294,Shane Tilton
http://www.wikidata.org/entity/Q7626515,Stuart Ewen
http://www.wikidata.org/entity/Q7792827,Thomas O'Regan
http://www.wikidata.org/entity/Q7799795,Thyrza Nichols Goodeve
http://www.wikidata.org/entity/Q7811851,Toby Miller
http://www.wikidata.org/entity/Q8022232,Willoughby Sharp
http://www.wikidata.org/entity/Q11163091,Ranko Munitić
http://www.wikidata.org/entity/Q15430828,Giaco Schiesser
http://www.wikidata.org/entity/Q15452163,Donald F. Roberts
http://www.wikidata.org/entity/Q15481021,Zorica Jevremović
http://www.wikidata.org/entity/Q15485246,Harley Parker
http://www.wikidata.org/entity/Q16017720,Giuseppe Chiari
http://www.wikidata.org/entity/Q16149699,Alan W. Moore
http://www.wikidata.org/entity/Q16190630,Alexandra Juhasz
http://www.wikidata.org/entity/Q16202237,Heidi Campbell
http://www.wikidata.org/entity/Q16728816,Ben Eltham
http://www.wikidata.org/entity/Q16728986,Carrie Figdor
http://www.wikidata.org/entity/Q16729108,Peter Friese
http://www.wikidata.org/entity/Q16732981,John Mullarkey
http://www.wikidata.org/entity/Q17019513,Robert Rowland Smith
http://www.wikidata.org/entity/Q17145706,Mirko Tobias Schäfer
http://www.wikidata.org/entity/Q17154156,Eugene Thacker
http://www.wikidata.org/entity/Q17418251,Donald L. Shaw
http://www.wikidata.org/entity/Q18023286,Les Levine
http://www.wikidata.org/entity/Q18071587,Arthur Asa Berger
http://www.wikidata.org/entity/Q19667612,Kim Sawchuk
http://www.wikidata.org/entity/Q21055309,Marco Maria Gazzano
http://www.wikidata.org/entity/Q21932084,Margaret Gallagher
http://www.wikidata.org/entity/Q21933475,Rebecca Whisnant
http://www.wikidata.org/entity/Q22006042,Christine Kozlov
http://www.wikidata.org/entity/Q22095382,Ana J. Bridges
http://www.wikidata.org/entity/Q22095583,Jennifer A. Johnson
http://www.wikidata.org/entity/Q22569655,Linda Steiner
http://www.wikidata.org/entity/Q23978392,Armen Avanessian
http://www.wikidata.org/entity/Q28006775,Patrick Lichty
http://www.wikidata.org/entity/Q28042333,Soleiman Pakseresht
http://www.wikidata.org/entity/Q53567844,Mohammad Salemy
http://www.wikidata.org/entity/Q59660790,Catherine O'Brien
http://www.wikidata.org/entity/Q60194485,Evan Tracey
http://www.wikidata.org/entity/Q65030170,Mark Hurst
http://www.wikidata.org/entity/Q70276684,Joe D. Phelps
http://www.wikidata.org/entity/Q105640760,Bradley Eros
http://www.wikidata.org/entity/Q3335,George Orwell
http://www.wikidata.org/entity/Q9049,Noam Chomsky
http://www.wikidata.org/entity/Q40640,Ray Bradbury
http://www.wikidata.org/entity/Q41148,Martin Scorsese
http://www.wikidata.org/entity/Q42511,H. G. Wells
http://www.wikidata.org/entity/Q52919,Sherry Turkle
http://www.wikidata.org/entity/Q61681,Oliver Grau
http://www.wikidata.org/entity/Q6097670,Ivan Tyrrell
http://www.wikidata.org/entity/Q22957880,Cristina Lafont
http://www.wikidata.org/entity/Q59610805,Chiara Bottici
http://www.wikidata.org/entity/Q7387480,S. G. Dani
http://www.wikidata.org/entity/Q716107,Béla H. Bánáthy
http://www.wikidata.org/entity/Q5522896,Gareth Loy
http://www.wikidata.org/entity/Q1681071,James S. Shapiro
http://www.wikidata.org/entity/Q5342682,Edward Dyer
http://www.wikidata.org/entity/Q5746291,Hester Dowden
http://www.wikidata.org/entity/Q6074255,Irvin Leigh Matus
http://www.wikidata.org/entity/Q6790326,Matthew Concanen
http://www.wikidata.org/entity/Q6830092,Michael Egan
http://www.wikidata.org/entity/Q7412238,Samuel Mosheim Schmucker
http://www.wikidata.org/entity/Q17022910,Frank W. Wadsworth
http://www.wikidata.org/entity/Q17580205,Lamberto Tassinari
http://www.wikidata.org/entity/Q7910727,Valentin Afraimovich
http://www.wikidata.org/entity/Q78034,Manfred Frank
http://www.wikidata.org/entity/Q82409,Samuel Taylor Coleridge
http://www.wikidata.org/entity/Q124980,Max Lüthi
http://www.wikidata.org/entity/Q130631,Jacques Derrida
http://www.wikidata.org/entity/Q151523,György Lukács
http://www.wikidata.org/entity/Q163366,Ezra Pound
http://www.wikidata.org/entity/Q178698,W. H. Auden
http://www.wikidata.org/entity/Q185375,Mikhail Bakhtin
http://www.wikidata.org/entity/Q192374,Marsilio Ficino
http://www.wikidata.org/entity/Q193769,Quintilian
http://www.wikidata.org/entity/Q207359,Georges Bataille
http://www.wikidata.org/entity/Q240851,Gayatri Chakravorty Spivak
http://www.wikidata.org/entity/Q248867,James Blish
http://www.wikidata.org/entity/Q318399,Anthony Trollope
http://www.wikidata.org/entity/Q336125,Amitav Ghosh
http://www.wikidata.org/entity/Q352465,Félix Guattari
http://www.wikidata.org/entity/Q354256,Northrop Frye
http://www.wikidata.org/entity/Q355355,Roman Ingarden
http://www.wikidata.org/entity/Q397146,Ștefan Petică
http://www.wikidata.org/entity/Q657515,Hendrik Brugmans
http://www.wikidata.org/entity/Q720345,Václav Tille
http://www.wikidata.org/entity/Q762223,Joyce Kilmer
http://www.wikidata.org/entity/Q954360,George Woodcock
http://www.wikidata.org/entity/Q1228472,Mikhail Gasparov
http://www.wikidata.org/entity/Q1690264,Joachim Küpper
http://www.wikidata.org/entity/Q2345564,John Neal
http://www.wikidata.org/entity/Q2361662,Dmitry Abramovich
http://www.wikidata.org/entity/Q2600510,Alexander Veselovsky
http://www.wikidata.org/entity/Q2625069,Viktor Vinogradov
http://www.wikidata.org/entity/Q2903359,Dana Olmert
http://www.wikidata.org/entity/Q2914083,Martin Hägglund
http://www.wikidata.org/entity/Q3609903,Alessandro Carrera
http://www.wikidata.org/entity/Q3801407,Ion Vinea
http://www.wikidata.org/entity/Q4107063,Zinaida Vengerova
