"","keyword","tf","df"
"1003","Guido of Arezzo",1,1
"1004","Haddad",1,1
"1005","Hagan",2,1
"1006","Hélène Cixous",1,1
"1007","Henri Poincaré",1,1
"1008","Herbert Marcuse",1,1
"1009","Herbert Spencer",2,1
"1010","Heynen",1,1
"1011","Hildenbrand",3,1
"1012","Holz",1,1
"1013","Horvat",1,1
"1014","Ihab Hassan",1,1
"1015","Immanuel Wallerstein",1,1
"1016","Ingram Frizer",1,1
"1017","Irigaray",1,1
"1018","Jack Goody",1,1
"1019","Jafar",1,1
"1020","James Tenney",1,1
"1021","James Thomson",1,1
"1022","Jean le Rond d'Alembert",1,1
"1023","Jeremijenko",2,1
"1024","Johann David Heinichen",3,1
"1025","John Ellis",1,1
"1026","John Law",2,1
"1027","John Neal",1,1
"1028","John Rahn",1,1
"1029","Jonathan Dollimore",1,1
"1030","Judith Butler",1,1
"1031","Juri Lotman",1,1
"1032","Jury",1,1
"1033","Kafer",1,1
"1034","Kamiya",1,1
"1035","Kantorovich",1,1
"1036","Kara Keeling",1,1
"1037","Karl Liebknecht",1,1
"1038","Kashyap",1,1
"1039","Keeling",2,1
"1040","Kepler",1,1
"1041","Kevin Warwick",1,1
"1042","Kirnberger",1,1
"1043","Klatte",1,1
"1044","Knecht",1,1
"1045","Koolhaas",1,1
"1046","Körner",1,1
"1047","Kosofsky Sedgwick",1,1
"1048","Kreps",1,1
"1049","Kristin Thompson",1,1
"1050","Kulick",1,1
"1051","Laclau",1,1
"1052","Lance Strate",1,1
"1053","LaSalle",21,1
"1054","Lavandier",2,1
"1055","Leatherbarrow",1,1
"1056","Lefkowitz",1,1
"1057","Lefort",2,1
"1058","Leo Braudy",1,1
"1059","Levinas",1,1
"1060","Lipsitz",1,1
"1061","Looney",1,1
"1062","Loos",1,1
"1063","Macksey",1,1
"1064","Mamdani",2,1
"1065","Mannoni",1,1
"1066","Mao Dun",1,1
"1067","Marcuse",1,1
"1068","Mark Wilson Jones",1,1
"1069","Markiewicz",1,1
"1070","Martí",2,1
"1071","Martin Scorsese",1,1
"1072","Maruyama",1,1
"1073","Mast",1,1
"1074","Matus",1,1
"1075","Max Horkheimer",1,1
"1076","Mbembe",1,1
"1077","McGinn",1,1
"1078","McIntosh",1,1
"1079","McKean",2,1
"1080","McQuail",1,1
"1081","Memmi",2,1
"1082","Menke",1,1
"1083","Meyer Schapiro",1,1
"1084","Miliband",1,1
"1085","Minh-ha",1,1
"1086","Misra",1,1
"1087","Mohan",1,1
"1088","Mohanty",1,1
"1089","Mosca",24,1
"1090","Mostafavi",1,1
"1091","Mouffe",1,1
"1092","Mulhall",1,1
"1093","Mulvey",1,1
"1094","Murch",1,1
